"ServiceDistrict","Status","2019-09-30_N","2019-09-30_Change","2019-12-31_N","2019-12-31_Change","2020-03-31_N","2020-03-31_Change","2020-06-30_N","2020-06-30_Change","2020-09-30_N","2020-09-30_Change","2020-12-31_N","2020-12-31_Change","2021-03-31_N","2021-03-31_Change","2021-06-30_N","2021-06-30_Change","2021-09-30_N","2021-09-30_Change","2021-12-31_N","2021-12-31_Change","2022-03-31_N","2022-03-31_Change","2022-06-30_N","2022-06-30_Change","2022-09-30_N","2022-09-30_Change","2022-12-31_N","2022-12-31_Change","2023-03-31_N","2023-03-31_Change"
"Other","Total",,,,,,,3,,12,300,8,-33.3333333333333,8,0,5,-37.5,6,20,6,0,6,0,15,150,17,13.3333333333333,18,5.88235294117647,17,-5.55555555555556
"Other Territories","Active",,,,,,,,,,,,,,,,,,,2,,2,0,2,0,2,0,2,0,2,0
"Other Territories","Rate",,,,,,,,,,,,,,,,,,,66.6666666666667,,66.6666666666667,,66.6666666666667,,66.6666666666667,,66.6666666666667,,66.6666666666667,
"Other Territories","Total",,,,,,,,,,,,,,,,,,,3,,3,0,3,0,3,0,3,0,3,0
"South East Metro","Active",155,,221,42.5806451612903,310,40.2714932126697,349,12.5806451612903,419,20.0573065902579,472,12.6491646778043,489,3.60169491525424,530,8.38445807770962,553,4.33962264150944,550,-0.542495479204341,541,-1.63636363636364,565,4.43622920517559,599,6.01769911504424,617,3.00500834724542,611,-0.972447325769854
"South East Metro","Rate",65.1260504201681,,69.7160883280757,,72.9411764705882,,71.3701431492842,,72.4913494809689,,70.7646176911544,,64.8541114058355,,64.3203883495146,,63.1278538812785,,59.2672413793103,,54.7017189079879,,53.3522190745987,,53.2918149466192,,51.761744966443,,49.7152156224573,
"South East Metro","Total",238,,317,33.1932773109244,425,34.0694006309148,489,15.0588235294118,578,18.200408997955,667,15.3979238754325,754,13.0434782608696,824,9.28381962864722,876,6.31067961165048,928,5.93607305936072,989,6.57327586206897,1059,7.0778564206269,1124,6.13786591123702,1192,6.04982206405693,1229,3.10402684563758
"South Metro","Active",296,,339,14.527027027027,357,5.30973451327434,373,4.48179271708684,443,18.7667560321716,500,12.8668171557562,533,6.60000000000001,555,4.12757973733584,565,1.80180180180181,557,-1.41592920353982,555,-0.359066427289045,588,5.94594594594595,619,5.27210884353742,631,1.93861066235865,624,-1.10935023771791
"South Metro","Rate",66.8171557562077,,66.4705882352941,,62.4125874125874,,61.4497528830313,,64.2028985507246,,61.2745098039216,,57.3735199138859,,54.4651619234544,,52.5092936802974,,48.859649122807,,45.7920792079208,,45.7231726283048,,44.5644348452124,,42.9251700680272,,39.9487836107554,
"South Metro","Total",443,,510,15.1241534988713,572,12.156862745098,607,6.11888111888113,690,13.673805601318,816,18.2608695652174,929,13.8480392156863,1019,9.68783638320776,1076,5.59371933267909,1140,5.94795539033457,1212,6.31578947368421,1286,6.1056105610561,1389,8.00933125972005,1470,5.83153347732182,1562,6.25850340136054
"South West","Active",116,,133,14.6551724137931,166,24.812030075188,168,1.20481927710843,189,12.5,202,6.87830687830688,235,16.3366336633663,238,1.27659574468084,243,2.10084033613445,239,-1.64609053497943,260,8.78661087866108,263,1.15384615384615,263,0,246,-6.4638783269962,264,7.31707317073171
"South West","Rate",71.6049382716049,,66.1691542288557,,65.6126482213439,,58.3333333333333,,56.7567567567568,,54.3010752688172,,54.9065420560748,,51.7391304347826,,49.6932515337423,,45.697896749522,,46.1811722912966,,44.3507588532884,,42.08,,38.1395348837209,,39.5802098950525,
"South West","Total",162,,201,24.0740740740741,253,25.8706467661691,288,13.8339920948617,333,15.625,372,11.7117117117117,428,15.0537634408602,460,7.47663551401869,489,6.30434782608695,523,6.95296523517381,563,7.64818355640535,593,5.32859680284192,625,5.39629005059021,645,3.2,667,3.41085271317829
"Wheat Belt","Active",106,,122,15.0943396226415,125,2.45901639344261,131,4.8,152,16.030534351145,163,7.23684210526316,159,-2.45398773006135,162,1.88679245283019,152,-6.17283950617284,168,10.5263157894737,175,4.16666666666667,171,-2.28571428571429,160,-6.4327485380117,163,1.875,168,3.06748466257669
"Wheat Belt","Rate",63.855421686747,,65.5913978494624,,58.9622641509434,,57.2052401746725,,57.3584905660377,,56.401384083045,,50.6369426751592,,48.0712166172107,,44.1860465116279,,46.1538461538462,,44.529262086514,,41.8092909535452,,38.0952380952381,,37.4712643678161,,36.4425162689805,
"Wheat Belt","Total",166,,186,12.0481927710843,212,13.9784946236559,229,8.0188679245283,265,15.7205240174672,289,9.0566037735849,314,8.65051903114187,337,7.32484076433122,344,2.07715133531157,364,5.8139534883721,393,7.96703296703296,409,4.07124681933841,420,2.68948655256724,435,3.57142857142858,461,5.97701149425287
